StudyName,StudyId,DeviceId,SensorId,Time,AmbientLight
will-right,0,0,2,2016-03-18 15:31:56.060,72
will-right,0,0,2,2016-03-18 15:31:56.559,73
will-right,0,0,2,2016-03-18 15:31:57.061,71
will-right,0,0,2,2016-03-18 15:31:57.568,85
will-right,0,0,2,2016-03-18 15:31:58.061,93
will-right,0,0,2,2016-03-18 15:31:58.570,91
will-right,0,0,2,2016-03-18 15:31:59.070,78
will-right,0,0,2,2016-03-18 15:31:59.570,52
will-right,0,0,2,2016-03-18 15:32:00.075,55
will-right,0,0,2,2016-03-18 15:32:00.577,58
will-right,0,0,2,2016-03-18 15:32:01.065,57
will-right,0,0,2,2016-03-18 15:32:01.573,56
will-right,0,0,2,2016-03-18 15:32:02.082,55
will-right,0,0,2,2016-03-18 15:32:02.570,55
will-right,0,0,2,2016-03-18 15:32:03.082,56
will-right,0,0,2,2016-03-18 15:32:03.571,54
will-right,0,0,2,2016-03-18 15:32:04.078,50
will-right,0,0,2,2016-03-18 15:32:04.570,52
will-right,0,0,2,2016-03-18 15:32:05.070,55
will-right,0,0,2,2016-03-18 15:32:05.561,101
will-right,0,0,2,2016-03-18 15:32:06.070,95
will-right,0,0,2,2016-03-18 15:32:06.560,95
will-right,0,0,2,2016-03-18 15:32:07.069,95
will-right,0,0,2,2016-03-18 15:32:07.591,95
will-right,0,0,2,2016-03-18 15:32:08.074,95
will-right,0,0,2,2016-03-18 15:32:08.572,95
will-right,0,0,2,2016-03-18 15:32:09.069,95
will-right,0,0,2,2016-03-18 15:32:09.561,95
will-right,0,0,2,2016-03-18 15:32:10.060,95
will-right,0,0,2,2016-03-18 15:32:10.572,95
will-right,0,0,2,2016-03-18 15:32:11.093,95
will-right,0,0,2,2016-03-18 15:32:11.572,71
will-right,0,0,2,2016-03-18 15:32:12.068,59
will-right,0,0,2,2016-03-18 15:32:12.572,57
will-right,0,0,2,2016-03-18 15:32:13.090,59
will-right,0,0,2,2016-03-18 15:32:13.568,56
will-right,0,0,2,2016-03-18 15:32:14.097,58
will-right,0,0,2,2016-03-18 15:32:14.568,57
will-right,0,0,2,2016-03-18 15:32:15.094,92
will-right,0,0,2,2016-03-18 15:32:15.572,100
will-right,0,0,2,2016-03-18 15:32:16.065,100
will-right,0,0,2,2016-03-18 15:32:16.573,101
will-right,0,0,2,2016-03-18 15:32:17.069,100
will-right,0,0,2,2016-03-18 15:32:17.569,100
will-right,0,0,2,2016-03-18 15:32:18.086,100
will-right,0,0,2,2016-03-18 15:32:18.571,96
will-right,0,0,2,2016-03-18 15:32:19.072,51
will-right,0,0,2,2016-03-18 15:32:19.569,98
will-right,0,0,2,2016-03-18 15:32:20.072,102
will-right,0,0,2,2016-03-18 15:32:20.567,102
will-right,0,0,2,2016-03-18 15:32:21.085,101
will-right,0,0,2,2016-03-18 15:32:21.590,101
will-right,0,0,2,2016-03-18 15:32:22.069,102
will-right,0,0,2,2016-03-18 15:32:22.585,101
will-right,0,0,2,2016-03-18 15:32:23.075,101
will-right,0,0,2,2016-03-18 15:32:23.576,101
will-right,0,0,2,2016-03-18 15:32:24.073,101
will-right,0,0,2,2016-03-18 15:32:24.569,101
will-right,0,0,2,2016-03-18 15:32:25.067,100
will-right,0,0,2,2016-03-18 15:32:25.575,99
will-right,0,0,2,2016-03-18 15:32:26.073,99
will-right,0,0,2,2016-03-18 15:32:26.574,99
will-right,0,0,2,2016-03-18 15:32:27.063,99
will-right,0,0,2,2016-03-18 15:32:27.585,99
will-right,0,0,2,2016-03-18 15:32:28.071,99
will-right,0,0,2,2016-03-18 15:32:28.568,99
will-right,0,0,2,2016-03-18 15:32:29.086,98
