StudyName,StudyId,DeviceId,SensorId,Time,Accx,Accy,Accz
will-right,0,0,0,2016-03-18 15:31:55.817,-0.8461914,-0.17163086,0.50756836
will-right,0,0,0,2016-03-18 15:31:55.826,-0.8347168,-0.18603516,0.49804688
will-right,0,0,0,2016-03-18 15:31:55.834,-0.87402344,-0.17871094,0.49658203
will-right,0,0,0,2016-03-18 15:31:55.841,-0.87353516,-0.15917969,0.517334
will-right,0,0,0,2016-03-18 15:31:55.864,-0.84375,-0.1772461,0.52905273
will-right,0,0,0,2016-03-18 15:31:55.891,-0.8671875,-0.1772461,0.5202637
will-right,0,0,0,2016-03-18 15:31:55.896,-0.8679199,-0.1850586,0.51049805
will-right,0,0,0,2016-03-18 15:31:55.943,-0.8679199,-0.19238281,0.5136719
will-right,0,0,0,2016-03-18 15:31:55.977,-0.87353516,-0.18334961,0.5136719
will-right,0,0,0,2016-03-18 15:31:55.994,-0.8586426,-0.1706543,0.51464844
will-right,0,0,0,2016-03-18 15:31:56.035,-0.8664551,-0.1784668,0.513916
will-right,0,0,0,2016-03-18 15:31:56.059,-0.84643555,-0.18359375,0.50878906
will-right,0,0,0,2016-03-18 15:31:56.100,-0.85375977,-0.17553711,0.5095215
will-right,0,0,0,2016-03-18 15:31:56.122,-0.85791016,-0.17944336,0.51416016
will-right,0,0,0,2016-03-18 15:31:56.164,-0.84765625,-0.1743164,0.51293945
will-right,0,0,0,2016-03-18 15:31:56.244,-0.83984375,-0.16845703,0.5148926
will-right,0,0,0,2016-03-18 15:31:56.280,-0.8479004,-0.1796875,0.51831055
will-right,0,0,0,2016-03-18 15:31:56.304,-0.8383789,-0.17333984,0.5239258
will-right,0,0,0,2016-03-18 15:31:56.323,-0.84350586,-0.17138672,0.5241699
will-right,0,0,0,2016-03-18 15:31:56.368,-0.85131836,-0.1821289,0.52441406
will-right,0,0,0,2016-03-18 15:31:56.393,-0.85253906,-0.18115234,0.5197754
will-right,0,0,0,2016-03-18 15:31:56.436,-0.85546875,-0.17285156,0.51708984
will-right,0,0,0,2016-03-18 15:31:56.443,-0.8405762,-0.1706543,0.52319336
will-right,0,0,0,2016-03-18 15:31:56.488,-0.842041,-0.17871094,0.52124023
will-right,0,0,0,2016-03-18 15:31:56.513,-0.8457031,-0.16601563,0.517334
will-right,0,0,0,2016-03-18 15:31:56.538,-0.84643555,-0.16455078,0.5197754
will-right,0,0,0,2016-03-18 15:31:56.585,-0.8444824,-0.17651367,0.5192871
will-right,0,0,0,2016-03-18 15:31:56.611,-0.8623047,-0.17504883,0.5197754
will-right,0,0,0,2016-03-18 15:31:56.635,-0.8449707,-0.17236328,0.5227051
will-right,0,0,0,2016-03-18 15:31:56.686,-0.84106445,-0.16992188,0.5124512
will-right,0,0,0,2016-03-18 15:31:56.710,-0.8425293,-0.16552734,0.51049805
